state,permit,handgun,long_gun,other,year
Alabama,26996.0,13733.0,17519.0,376.0,2016
Alaska,254.0,4087.0,3698.0,243.0,2016
Arizona,8900.0,18024.0,13785.0,1180.0,2016
Arkansas,3294.0,9192.0,13433.0,277.0,2016
California,61808.0,63649.0,93224.0,77929.0,2016
Colorado,5333.0,25905.0,21134.0,1428.0,2016
Connecticut,6527.0,8003.0,3153.0,119.0,2016
Delaware,320.0,2689.0,2981.0,126.0,2016
District of Columbia,4.0,60.0,5.0,0.0,2016
Florida,24096.0,69842.0,39880.0,3488.0,2016
Georgia,16891.0,23875.0,22613.0,598.0,2016
Guam,0.0,105.0,51.0,8.0,2016
Hawaii,1139.0,0.0,0.0,0.0,2016
Idaho,3292.0,5471.0,7074.0,206.0,2016
Illinois,17509.0,29658.0,17164.0,0.0,2016
Indiana,40729.0,30248.0,21688.0,1546.0,2016
Iowa,12486.0,391.0,4822.0,22.0,2016
Kansas,1368.0,8494.0,10473.0,450.0,2016
Kentucky,358510.0,17311.0,16766.0,371.0,2016
Louisiana,6268.0,18412.0,22848.0,992.0,2016
Maine,442.0,4641.0,4713.0,322.0,2016
Mariana Islands,0.0,0.0,0.0,0.0,2016
Maryland,3687.0,4925.0,8870.0,211.0,2016
Massachusetts,8192.0,7050.0,3884.0,392.0,2016
Michigan,17469.0,14879.0,14328.0,550.0,2016
Minnesota,32841.0,12431.0,12851.0,930.0,2016
Mississippi,1771.0,13168.0,17231.0,366.0,2016
Missouri,1167.0,29770.0,27013.0,1507.0,2016
Montana,1408.0,3822.0,5832.0,164.0,2016
Nebraska,4704.0,268.0,3697.0,27.0,2016
Nevada,2216.0,6783.0,4696.0,313.0,2016
New Hampshire,3160.0,6625.0,4225.0,183.0,2016
New Jersey,0.0,5394.0,4979.0,204.0,2016
New Mexico,1079.0,7484.0,7149.0,467.0,2016
New York,2469.0,12074.0,22585.0,1029.0,2016
North Carolina,29463.0,2163.0,28023.0,907.0,2016
North Dakota,1189.0,1799.0,2927.0,108.0,2016
Ohio,11781.0,40996.0,29641.0,1877.0,2016
Oklahoma,0.0,17990.0,19418.0,1126.0,2016
Oregon,777.0,18931.0,16010.0,0.0,2016
Pennsylvania,28180.0,64220.0,18688.0,40.0,2016
Puerto Rico,0.0,1334.0,256.0,37.0,2016
Rhode Island,0.0,1283.0,953.0,72.0,2016
South Carolina,9634.0,15600.0,14782.0,809.0,2016
South Dakota,1238.0,3525.0,5131.0,299.0,2016
Tennessee,5124.0,36917.0,30997.0,1807.0,2016
Texas,24494.0,69163.0,69272.0,3641.0,2016
Utah,12544.0,6428.0,9257.0,341.0,2016
Vermont,0.0,1802.0,1998.0,99.0,2016
Virgin Islands,47.0,15.0,5.0,0.0,2016
Virginia,1145.0,32572.0,27619.0,1308.0,2016
Washington,14178.0,21835.0,16484.0,1949.0,2016
West Virginia,1465.0,10869.0,11628.0,338.0,2016
Wisconsin,24129.0,16521.0,15036.0,818.0,2016
Wyoming,437.0,2540.0,2984.0,110.0,2016
Alabama,22628.0,10214.0,13470.0,388.0,2016
Alaska,254.0,3396.0,4019.0,316.0,2016
Arizona,8398.0,14850.0,11994.0,1288.0,2016
Arkansas,2755.0,7226.0,11866.0,268.0,2016
California,53278.0,56932.0,82554.0,30133.0,2016
Colorado,7129.0,24052.0,19794.0,1658.0,2016
Connecticut,6766.0,7063.0,3258.0,135.0,2016
Delaware,261.0,2490.0,2751.0,124.0,2016
